model,accuracy,precision,recall,f1_score,auc_roc
GraphSAGE,0.5,0.5,1.0,0.6666666666666666,0.38105038682801035
GNN,0.5,0.5,1.0,0.6666666666666666,0.5
rf,0.9022887323943662,0.9102333931777379,0.8926056338028169,0.9013333333333333,0.9661633976393573
svm,0.9014084507042254,0.930188679245283,0.8679577464788732,0.8979963570127505,0.9631939967268399
lr,0.9040492957746479,0.9338374291115312,0.8697183098591549,0.9006381039197813,0.9683857989486213
