iter	RMSE
0	472.2977338
1	458.7430696
2	446.5966958
3	434.7537539
4	423.3665317
5	413.5989465
6	403.46253
7	394.0119954
8	384.6360704
9	374.9008023
10	366.6342821
11	358.8468541
12	352.0467778
13	345.8574243
14	337.3454201
15	330.2657817
16	324.3187443
17	316.727149
18	311.4358963
19	307.2207307
20	301.1295632
21	294.2400944
22	287.2448604
23	280.5826096
24	273.8553014
25	267.4747665
26	261.9830989
27	258.7021705
28	253.2089457
29	247.236896
30	242.7997693
31	239.685514
32	236.1563939
33	232.3461743
34	229.0303184
35	224.4157095
36	222.0886706
37	218.329075
38	215.2161305
39	213.3280512
40	210.0486509
41	207.6408272
42	204.5272219
43	203.1141424
44	200.4818591
45	197.4162593
46	195.6799844
47	193.223776
48	191.6778665
49	189.3848525
50	187.2476122
51	184.7939104
52	182.9245283
53	180.3495572
54	179.2368246
55	177.4375121
56	175.0363241
57	174.2510151
58	172.857018
59	172.1481286
60	171.553399
61	169.5135753
62	168.802082
63	167.8371583
64	166.0031979
65	164.2656918
66	162.5092182
67	161.1047358
68	159.5614763
69	158.6271704
70	157.872272
71	156.946762
72	156.5790463
73	156.0675814
74	154.7171978
75	153.3579602
76	152.0294158
77	151.0667161
78	150.0320725
79	148.9046389
80	148.2381576
81	147.8011354
82	146.7731583
83	145.9384377
84	145.4028352
85	144.4443707
86	143.8691867
87	143.5321831
88	142.5714303
89	142.259236
90	141.9610163
91	141.7638248
92	140.978115
93	140.3726941
94	140.0093709
95	139.5981
96	138.951053
97	138.3064179
98	137.7119137
99	137.3025383
100	136.7477287
101	136.6213056
102	136.1320383
103	135.9254238
104	135.3265175
105	134.9077433
106	134.4497436
107	133.9385992
108	133.6314089
109	133.1587905
110	133.0227064
111	132.7340403
112	131.9979716
113	131.8760489
114	131.6718124
115	131.2713588
116	130.9053306
117	130.4628463
118	130.1565081
119	130.0468784
120	129.7805467
121	129.5528741
122	129.0895364
123	128.8065719
124	128.5435894
125	128.1265258
126	128.0282341
127	127.6472654
128	127.4531136
129	127.0528062
130	126.4927411
131	125.9949927
132	125.5413488
133	125.3987821
134	124.9346471
135	124.7161233
136	124.5164677
137	124.1033447
138	123.7500515
139	123.5644657
140	123.1567619
141	122.7387474
142	122.5617334
143	122.1505137
144	121.8383811
145	121.4474498
146	121.0280988
147	120.7845327
148	120.4980477
149	120.2463433
150	120.0324049
151	119.6707311
152	119.2834279
153	118.9277653
154	118.5994555
155	118.3182354
156	118.1194874
157	118.0186824
158	117.7680937
159	117.4359517
160	117.1393445
161	117.0029596
162	116.7885647
163	116.5425367
164	116.257499
165	116.0320604
166	115.8487673
167	115.5948089
168	115.3687262
169	115.002437
170	114.5978532
171	114.2018073
172	113.8743435
173	113.5101192
174	113.3157611
175	113.0791553
176	112.8754314
177	112.5570351
178	112.362055
179	112.1883799
180	112.0397942
181	111.8169544
182	111.6698622
183	111.4584479
184	111.3594725
185	111.1077145
186	110.9453044
187	110.8431608
188	110.576742
189	110.4630203
190	110.2356293
191	109.9803207
192	109.7966479
193	109.6124055
194	109.4179764
195	109.3362909
196	109.058722
197	108.9457097
198	108.7390725
199	108.5927971
