Source,Destination,Weight,Source_Name,Destination_Name
UCRndw89-ujV1YmGsx9-Yldw,UCi7YLOUOMQF7At2piFX3Piw,3,@FindTheFun,@Rappasta
UCdTEC2cPJ2f8Mcpx56gKlOw,UC_tMMlDIuboT0GK1McI7WFQ,3,@FunDbob,@EgushYT
UCc_qrV52bBDt1wuf2YcaPCg,UC1eM4aUN033eB2k8TcFL9hw,3,@TheJacklwilliams,@akshyaesingh5281
UCWHwCyAp2CtKMVm25ZG4BAw,UCb3rIS4J-01FIKRZJL7l-Qg,3,@MatthewTheWanderer,@maxzytaruk8558
UC1O69vsWRg1Sp150ZpTboZw,UCBiZI5yKZMc9nNzWJZhoigw,3,@ToayTaniaDiaz,@KennethWalter-e9n
UCnAU2Aqf9SRnW99wzGoCjYA,UCQrcWuKA2wT2TyaalFcL7mg,3,@destineybailey6890,@sssf55
UCG1r0GbJDtJb92wEOipmucg,UCKPgLQb1Nli3iyNRFRGpttg,3,@Malkeyd,@mms3453
UCFAK7m-wLoLhMd4xjS52azg,UCpHQ8mSF19Ml1Yk_hnGcoeQ,3,@spadaacca,@Silas2-p7c
UCwOq39WXWBmTE_-6MImF79Q,UCKPgLQb1Nli3iyNRFRGpttg,3,@onidaaitsubasa4177,@mms3453
UCnWyAovQkH_Gq7cRpR2IPvA,UCi7YLOUOMQF7At2piFX3Piw,3,@organizedmicrowave4414,@Rappasta
UCLn4VxzKq_AsmkFOv1pt_nQ,UC097-iwu1cccMi7kyY6nFXA,3,@BestElisaKatunzi,@kidredglow2060
UCbVxemtmnLz7io-3lcLi20A,UCHoc4JfXcXYEWA9GCvRlSVg,3,@jbangz2023,@Brandypop
UCT2Eu4CTYwmcqkRCfDPaRzg,UC8FngGvVHDOvwaFR4QGUP4A,3,@Chris_Hruska,@Clemetroll
UC1tkxYwfFx1du0976nVRuuA,UC_tMMlDIuboT0GK1McI7WFQ,3,@cowsalwaysbark,@EgushYT
UCc6-PmhGtRgUNhL_O6A8FdA,UCOPKNbr1DXMFzCxK9QpKaGQ,3,@Euduchaus,@IgorReminnyi
UCh-x39j_e_bf18MwT5Zwxdg,UCOtYf0KC_w67do1xXoP4gvw,3,@Supergoose1888HH,@mousermind
